Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2017-11-16,55.63,55.95,55.3,55.49,-0.17,55.54,40526.0,59796.0,,,
2017-11-15,55.41,55.88,55.24,55.66,-0.37,55.55,23661.0,59022.0,,,255.0
2017-11-14,57.01,57.02,55.16,56.03,-1.1,56.19,30274.0,60317.0,,,160.0
2017-11-13,57.38,57.53,56.71,57.13,-0.03,57.19,31476.0,59118.0,,,912.0
2017-11-10,57.44,57.75,56.97,57.16,-0.4,57.38,21053.0,57247.0,,,260.0
2017-11-09,57.24,57.93,57.12,57.56,0.34,57.64,23416.0,55727.0,,,1253.0
2017-11-08,57.46,58.27,56.86,57.22,-0.37,57.38,48551.0,54255.0,,,100.0
2017-11-07,57.58,57.99,57.23,57.59,-0.11,57.58,37679.0,47971.0,,,458.0
2017-11-06,56.12,57.94,56.04,57.7,1.72,56.91,43922.0,42957.0,,,894.0
2017-11-03,55.17,56.07,54.81,55.98,1.09,55.28,19935.0,43072.0,,,2072.0
2017-11-02,54.64,55.13,54.31,54.89,0.27,54.64,26785.0,40972.0,,,16.0
2017-11-01,54.98,55.51,54.23,54.62,-0.07,54.86,27823.0,39748.0,,,277.0
2017-10-31,54.41,55.11,54.27,54.69,0.21,54.49,21774.0,39677.0,,,179.0
2017-10-30,54.4,54.71,54.09,54.48,0.3,54.32,30323.0,34738.0,,,1253.0
2017-10-27,53.01,54.43,52.62,54.18,1.18,53.54,25352.0,32058.0,,,2646.0
2017-10-26,52.45,53.18,52.32,53.0,0.41,52.71,29331.0,31315.0,,,693.0
2017-10-25,52.79,52.79,52.28,52.59,-0.2,52.51,31767.0,28382.0,,,1140.0
2017-10-24,52.21,52.91,51.85,52.79,0.6,52.52,23924.0,28975.0,,,554.0
2017-10-23,52.46,52.57,51.98,52.19,0.02,52.32,18585.0,28690.0,,,
2017-10-20,51.97,52.32,51.26,52.17,0.3,51.75,11405.0,28425.0,,,520.0
2017-10-19,52.63,52.63,51.63,51.87,-0.69,51.99,15654.0,28848.0,,,
2017-10-18,52.65,52.8,52.26,52.56,0.17,52.54,12519.0,29308.0,,,
2017-10-17,52.42,52.78,51.83,52.39,-0.1,52.31,16010.0,28296.0,,,1200.0
2017-10-16,52.16,52.98,52.16,52.49,0.39,52.58,10964.0,27964.0,,,
2017-10-13,51.57,52.37,51.57,52.1,0.77,51.92,11516.0,27167.0,,,436.0
2017-10-12,51.7,51.7,50.92,51.33,-0.62,51.26,11186.0,27100.0,,,679.0
2017-10-11,51.68,51.95,51.58,51.95,0.37,51.77,2649.0,26056.0,,,
2017-10-10,50.43,51.74,50.39,51.58,1.2,51.32,12553.0,25714.0,,,612.0
2017-10-09,50.25,50.54,49.95,50.38,0.26,50.24,5840.0,26511.0,,,87.0
2017-10-06,51.42,51.6,50.0,50.12,-1.52,50.46,15223.0,26564.0,,,481.0
2017-10-05,50.76,51.91,50.71,51.64,0.85,51.47,12947.0,24619.0,,,48.0
2017-10-04,50.75,51.32,50.59,50.79,-0.34,50.99,11155.0,23400.0,,,123.0
2017-10-03,51.07,51.39,50.83,51.13,-0.14,51.13,8983.0,23853.0,,,155.0
2017-10-02,52.15,52.16,50.76,51.27,-0.95,51.29,6537.0,24790.0,,,27.0
2017-09-29,52.06,52.41,51.97,52.22,0.02,52.15,9530.0,24523.0,,,134.0
2017-09-28,52.51,53.28,51.84,52.2,-0.52,52.63,13362.0,22718.0,,,810.0
2017-09-27,52.7,52.92,52.28,52.72,0.18,52.67,11522.0,23529.0,,,1971.0
2017-09-26,52.64,52.85,52.1,52.54,-0.3,52.46,11218.0,24131.0,,,
2017-09-25,51.44,52.86,51.27,52.84,1.37,52.22,18822.0,23264.0,,,140.0
2017-09-22,51.38,51.51,51.17,51.47,0.08,51.36,9219.0,23709.0,,,175.0
2017-09-21,51.44,51.45,50.9,51.39,-0.07,51.25,11329.0,25526.0,,,
2017-09-20,51.01,51.73,50.91,51.46,0.77,51.33,11833.0,25156.0,,,377.0
2017-09-19,51.12,51.42,50.53,50.69,-0.38,50.93,7676.0,24049.0,,,50.0
2017-09-18,51.17,51.56,50.5,51.07,-0.23,50.95,8693.0,22648.0,,,
2017-09-15,50.75,51.32,50.7,51.3,0.24,51.15,8367.0,21554.0,,,
2017-09-14,50.33,51.42,50.28,51.06,0.53,51.06,11865.0,19975.0,,,
2017-09-13,49.71,50.56,49.61,50.53,0.81,50.08,9768.0,17017.0,,,54.0
2017-09-12,49.54,49.89,48.87,49.72,0.03,49.71,5910.0,15904.0,,,
2017-09-11,49.43,49.72,48.83,49.69,0.44,49.3,5590.0,14907.0,,,45.0
2017-09-08,50.52,50.56,49.14,49.25,-1.22,49.84,9311.0,15125.0,,,582.0
2017-09-07,50.42,50.62,50.14,50.47,-0.05,50.32,8053.0,13787.0,,,108.0
2017-09-06,49.94,50.63,49.94,50.52,0.42,50.41,8464.0,12914.0,,,
2017-09-05,49.13,50.27,49.12,50.1,0.95,49.94,8857.0,11864.0,,,27.0
2017-09-04,49.33,49.39,48.91,49.15,-0.17,49.13,4088.0,12510.0,,,
2017-09-01,49.37,49.46,48.96,49.32,0.02,49.17,8589.0,12675.0,,,
2017-08-31,47.56,49.27,47.55,49.3,1.82,48.68,8137.0,12136.0,,,344.0
2017-08-30,48.07,48.36,47.4,47.48,-0.56,47.94,7941.0,12532.0,,,
2017-08-29,47.97,48.1,47.57,48.04,0.32,47.79,10737.0,11685.0,,,
2017-08-28,48.56,48.62,47.49,47.72,-0.98,48.05,4690.0,11506.0,,,
2017-08-25,48.63,48.71,48.38,48.7,0.43,48.57,3016.0,11407.0,,,
2017-08-24,48.99,49.07,47.94,48.27,-0.84,48.48,4622.0,12048.0,,,279.0
2017-08-23,48.25,49.11,48.25,49.11,0.64,48.83,3854.0,11850.0,,,236.0
2017-08-22,48.3,48.68,47.98,48.47,0.49,48.38,4507.0,11184.0,,,209.0
2017-08-21,49.09,49.15,47.76,47.98,-1.13,48.33,4197.0,11217.0,,,100.0
2017-08-18,47.67,49.26,47.48,49.11,1.35,48.3,4409.0,10651.0,,,185.0
2017-08-17,47.66,47.83,47.24,47.76,0.22,47.58,3493.0,10729.0,,,75.0
2017-08-16,48.4,48.77,47.5,47.54,-0.69,48.09,3385.0,10760.0,,,72.0
2017-08-15,48.35,48.44,47.84,48.23,-0.1,48.1,3278.0,10724.0,,,100.0
2017-08-14,49.47,49.65,48.22,48.33,-1.13,48.82,2399.0,10734.0,,,
2017-08-11,49.1,49.51,48.59,49.46,0.26,48.98,2096.0,10583.0,,,
2017-08-10,50.41,50.66,48.99,49.2,-1.06,49.95,5524.0,10518.0,,,
2017-08-09,49.69,50.29,49.69,50.26,0.31,50.0,3209.0,10605.0,,,180.0
2017-08-08,50.13,50.44,49.71,49.95,-0.22,50.11,2821.0,10541.0,,,
2017-08-07,50.26,50.26,49.32,50.17,-0.06,49.74,3460.0,10533.0,,,
2017-08-04,49.57,50.23,49.28,50.23,0.54,49.89,2907.0,10690.0,,,206.0
2017-08-03,49.85,50.48,49.55,49.69,-0.49,50.04,3431.0,10506.0,,,231.0
2017-08-02,49.42,50.22,49.31,50.18,0.4,49.79,4703.0,9319.0,,,66.0
2017-08-01,50.63,50.79,49.07,49.78,-0.78,49.56,5483.0,8294.0,,,44.0
2017-07-31,50.37,50.62,49.8,50.56,0.48,50.1,4191.0,8458.0,,,
2017-07-28,49.67,50.14,49.52,50.08,0.48,49.9,2494.0,8152.0,,,660.0
2017-07-27,49.22,49.73,48.87,49.6,0.3,49.43,2701.0,8016.0,,,
2017-07-26,49.01,49.31,48.57,49.3,0.62,48.97,3113.0,7878.0,,,216.0
2017-07-25,47.55,49.08,47.54,48.68,1.34,48.45,2599.0,7690.0,,,
2017-07-24,46.82,47.44,46.66,47.34,0.47,47.19,1165.0,7790.0,,,50.0
2017-07-21,47.97,48.2,46.71,46.87,-1.13,47.28,1215.0,7418.0,,,275.0
2017-07-20,48.33,48.68,48.02,48.0,-0.39,48.38,1481.0,7584.0,,,30.0
2017-07-19,47.39,48.47,47.39,48.39,0.72,48.09,1176.0,7341.0,,,539.0
2017-07-18,47.56,48.18,47.56,47.67,0.31,47.89,896.0,7467.0,,,
2017-07-17,47.78,47.85,47.32,47.36,-0.35,47.73,691.0,7405.0,,,
