Stock Quotes for KKR,,,,,
Date,Dividends,,,Adjusted Close,Close
2016-02-18,0.16,,,,
2016-05-03,0.16,,,,
2016-08-03,0.16,,,,
2016-11-02,0.16,,,,
2017/2/16,0.16,,,,
2017-05-04,0.17,,,,
2017-08-03,0.17,,,,
2017-11-03,0.17,,,,
