Stock Quotes for WMT,,,,,
Date,Dividends,,,Adjusted Close,Close
2016-03-09,0.5,,,,
2016-05-11,0.5,,,,
2016-08-10,0.5,,,,
2016-12-07,0.5,,,,
2017-03-08,0.51,,,,
2017/5/10,0.51,,,,
2017-08-09,0.51,,,,
2017-12-07,0.51,,,,
