Stock Quotes for XOM,,,,,
Date,Dividends,,,Adjusted Close,Close
2016-02-09,0.73,,,,
2016-05-11,0.75,,,,
2016-08-10,0.75,,,,
2016-11-08,0.75,,,,
2017-02-08,0.75,,,,
2017-05-10,0.77,,,,
2017-08-10,0.77,,,,
2017/11/10,0.77,,,,
