"date","close","volume","open","high","low"
"2017/10/16","142.1800","394329.0000","142.1100","142.2900","141.9200"
"2017/10/13","141.9900","589803.0000","142.0500","142.2050","141.8900"
"2017/10/12","141.8100","891166.0000","141.7800","142.0700","141.7100"
"2017/10/11","142.0100","3868701.0000","141.7600","142.0310","141.6300"
"2017/10/10","141.7900","412735.0000","141.8100","142.1000","141.5100"
"2017/10/09","141.5000","328432.0000","141.9000","141.9200","141.3200"
"2017/10/06","141.7600","609345.0000","141.5800","141.7700","141.4600"
"2017/10/05","141.8800","1743688.0000","141.2000","141.9100","141.2000"
"2017/10/04","141.0500","521982.0000","140.7600","141.2100","140.7300"
"2017/10/03","140.8600","428038.0000","140.7500","140.8900","140.5200"
"2017/10/02","140.5700","941860.0000","140.1300","140.5700","140.0100"
"2017/09/29","139.8800","722910.0000","139.4800","139.9600","139.3400"
"2017/09/28","139.4100","1025096.0000","139.1900","139.4800","139.0000"
"2017/09/27","139.2500","2041621.0000","139.1000","139.4950","138.6000"
"2017/09/26","138.7400","1061902.0000","138.9900","139.0500","138.5750"
"2017/09/25","139.2800","782786.0000","139.3300","139.5900","138.8000"
"2017/09/22","139.4900","332398.0000","139.2700","139.6200","139.2700"
"2017/09/21","139.5000","1225360.0000","139.7800","139.8000","139.3800"
"2017/09/20","139.8400","518552.0000","139.7900","139.8887","139.2538"
"2017/09/19","139.7400","1052274.0000","139.7400","139.8100","139.5600"
"2017/09/18","139.6500","649570.0000","139.5300","139.8500","139.3900"
"2017/09/15","139.3000","964806.0000","139.0600","139.3700","138.7600"
"2017/09/14","139.0900","577485.0000","138.9100","139.1965","138.7900"
"2017/09/13","139.1600","709941.0000","138.9600","139.1600","138.8200"
"2017/09/12","139.0700","716110.0000","138.8200","139.0800","138.7300"
"2017/09/11","138.5600","516823.0000","137.9300","138.6400","137.9300"
"2017/09/08","137.1100","560309.0000","137.0600","137.3700","136.9300"
"2017/09/07","137.2800","496371.0000","137.5000","137.5000","136.9800"
"2017/09/06","137.3300","1312337.0000","137.3300","137.5050","136.9499"
"2017/09/05","136.8600","2719454.0000","137.5700","137.7300","136.2400"
"2017/09/01","137.9700","887123.0000","137.8900","138.1800","137.8100"
"2017/08/31","137.6500","643952.0000","137.0700","137.8300","137.0300"
"2017/08/30","136.7900","962605.0000","136.1500","136.9500","135.9900"
"2017/08/29","136.0800","936281.0000","135.2100","136.2600","135.0600"
"2017/08/28","135.9700","1031744.0000","136.2800","136.3200","135.7100"
"2017/08/25","135.9500","845946.0000","136.1600","136.5400","135.8900"
"2017/08/24","135.6600","1880695.0000","136.1500","136.3100","135.5600"
"2017/08/23","135.8900","435522.0000","135.8500","136.2150","135.7900"
"2017/08/22","136.3200","570889.0000","135.3900","136.4799","135.3600"
"2017/08/21","135.0000","675615.0000","134.8400","135.1100","134.3900"
"2017/08/18","134.8400","688358.0000","134.9200","135.6600","134.5600"
"2017/08/17","135.1200","829957.0000","136.7700","137.0500","135.1000"
"2017/08/16","137.2000","874112.0000","137.2700","137.5800","136.9500"
"2017/08/15","136.9400","399838.0000","137.2100","137.2100","136.7600"
"2017/08/14","136.9900","852763.0000","136.4500","137.1500","136.4300"
"2017/08/11","135.6300","1053274.0000","135.4400","135.9800","135.3900"
"2017/08/10","135.4200","951937.0000","136.7900","136.9800","135.3900"
"2017/08/09","137.3700","382214.0000","136.9600","137.4200","136.8100"
"2017/08/08","137.5300","705516.0000","137.6300","138.4100","137.2400"
"2017/08/07","137.8100","320284.0000","137.6600","137.8300","137.5400"
"2017/08/04","137.5500","558517.0000","137.6800","137.7600","137.3400"
"2017/08/03","137.3000","448669.0000","137.5300","137.5300","137.1500"
"2017/08/02","137.5700","1344777.0000","137.7500","137.7500","136.9600"
"2017/08/01","137.5200","489411.0000","137.7000","137.7000","137.2800"
"2017/07/31","137.2100","1052249.0000","137.6000","137.6700","137.1100"
"2017/07/28","137.3200","443582.0000","137.1700","137.4250","136.9400"
"2017/07/27","137.5400","599280.0000","138.0000","138.0000","136.6900"
"2017/07/26","137.7500","625598.0000","137.9700","137.9800","137.5700"
"2017/07/25","137.7700","1389441.0000","137.8900","137.9800","137.5999"
"2017/07/24","137.4000","2966529.0000","137.3500","137.4900","137.1000"
"2017/07/21","137.3400","526779.0000","137.0800","137.3900","136.9900"
"2017/07/20","137.4600","1527495.0000","137.6400","137.6600","137.1500"
"2017/07/19","137.4400","417786.0000","136.9000","137.4500","136.8100"
"2017/07/18","136.7000","735052.0000","136.3400","136.7000","136.1300"
"2017/07/17","136.5900","400276.0000","136.5800","136.8300","136.4900"
"2017/07/14","136.5900","539339.0000","136.0000","136.8600","135.9000"
"2017/07/13","135.9700","418671.0000","135.8800","136.0700","135.6299"
"2017/07/12","135.7800","1177824.0000","135.4600","135.9100","135.3100"
"2017/07/11","134.7500","1079133.0000","134.7700","134.9700","134.0200"
"2017/07/10","134.8300","388258.0000","134.6000","135.0500","134.5200"
"2017/07/07","134.6700","416521.0000","134.1300","134.7966","134.0600"
"2017/07/06","133.8300","716265.0000","134.5800","134.6800","133.7000"
"2017/07/05","135.7600","377081.0000","135.7600","135.8700","135.1900"
"2017/07/03","135.5700","276167.0000","135.7700","136.1200","135.5400"
"2017/06/30","135.2700","674521.0000","135.5500","135.7300","135.0900"
"2017/06/29","135.0300","525767.0000","136.2100","136.2645","134.1900"
"2017/06/28","136.1800","573020.0000","135.5400","136.2900","135.4600"
"2017/06/27","135.0000","701746.0000","135.9100","136.1200","134.9500"
"2017/06/26","136.0700","390399.0000","136.3500","136.6200","135.8700"
"2017/06/23","135.9200","964598.0000","135.7500","136.1300","135.5500"
"2017/06/22","135.6800","949587.0000","135.8000","136.1100","135.6000"
"2017/06/21","135.7500","953143.0000","136.0200","136.1800","135.4743"
"2017/06/20","135.8100","407590.0000","136.5800","136.5800","135.8100"
