"date","close","volume","open","high","low"
"2018/02/13","125.2200","20068.0000","122.8700","125.6000","122.5100"
"2018/02/12","123.9800","85715.0000","123.3500","125.4699","120.8501"
"2018/02/09","121.1700","210900.0000","120.0000","122.8500","113.8200"
"2018/02/08","116.7700","193887.0000","128.1500","128.1500","116.7700"
"2018/02/07","127.1300","103595.0000","126.6800","130.5500","125.6800"
"2018/02/06","127.1700","161101.0000","118.3700","127.6700","118.0000"
"2018/02/05","124.0100","226911.0000","130.8500","134.3938","121.3700"
"2018/02/02","135.5100","108896.0000","140.4600","140.4600","135.1500"
"2018/02/01","140.9900","30722.0000","138.9500","141.2196","138.8200"
"2018/01/31","139.4300","66169.0000","139.1100","140.2500","138.0100"
"2018/01/30","138.2700","88729.0000","139.2100","140.6440","138.2300"
"2018/01/29","141.1900","50419.0000","143.5800","143.5800","141.1200"
"2018/01/26","143.0900","21437.0000","142.1500","143.0900","140.9600"
"2018/01/25","141.3600","38833.0000","142.6000","142.6000","140.5500"
"2018/01/24","141.8100","57245.0000","141.6200","142.4800","140.1400"
"2018/01/23","140.8400","44211.0000","139.8500","141.0900","139.0900"
"2018/01/22","140.1200","41074.0000","137.7600","140.1200","137.7600"
"2018/01/19","137.6658","33025.0000","136.2200","137.6700","136.2200"
"2018/01/18","135.8300","27967.0000","136.2200","136.8100","135.6000"
"2018/01/17","136.6900","28348.0000","134.9500","137.0000","133.8504"
"2018/01/16","134.4500","58533.0000","137.5000","137.5313","133.6200"
"2018/01/12","135.1500","27789.0000","134.8600","135.1500","133.5881"
"2018/01/11","133.6300","35951.0000","133.3900","133.6300","132.5500"
"2018/01/10","132.4800","29314.0000","132.0600","133.4500","131.2200"
"2018/01/09","131.6100","26780.0000","131.5200","132.7800","131.5200"
"2018/01/08","130.8600","15538.0000","130.4300","131.1000","130.1786"
"2018/01/05","130.7200","16563.0000","130.6700","130.7650","129.3510"
"2018/01/04","129.6300","54002.0000","129.5400","131.4200","129.5000"
"2018/01/03","128.3400","29628.0000","127.4000","128.6788","127.3300"
"2018/01/02","127.3800","80743.0000","129.2400","129.9200","126.6600"
"2017/12/29","127.9300","23983.0000","129.9300","129.9300","127.9300"
"2017/12/28","129.1700","14637.0000","128.7500","129.1900","128.2629"
"2017/12/27","128.0200","29654.0000","127.6330","128.2000","127.5200"
"2017/12/26","127.7300","21495.0000","128.0000","128.5803","127.0836"
"2017/12/22","128.4900","22327.0000","128.8900","129.0000","127.3307"
"2017/12/21","128.3600","29131.0000","128.1900","129.0890","128.1900"
"2017/12/20","127.1400","40495.0000","130.0000","130.0000","127.1400"
"2017/12/19","128.0200","29274.0000","130.6600","130.7350","128.0000"
"2017/12/18","130.1400","55442.0000","130.0000","130.9782","129.6200"
"2017/12/15","128.2700","38843.0000","126.8400","129.2400","126.8000"
"2017/12/14","125.9800","24769.0000","127.9600","128.2200","125.7600"
"2017/12/13","127.1500","53912.0000","129.3400","129.7890","127.1500"
"2017/12/12","129.5700","40896.0000","128.1400","130.2900","127.8000"
"2017/12/11","127.4000","30642.0000","127.9900","128.0000","127.0200"
"2017/12/08","127.7100","31121.0000","127.3700","127.7100","126.2900"
"2017/12/07","126.4600","28146.0000","124.9100","127.1299","124.8816"
"2017/12/06","125.5600","37082.0000","125.4800","126.4600","125.0110"
"2017/12/05","125.9800","100493.0000","128.2500","128.3600","125.6700"
"2017/12/04","127.3600","102024.0000","129.8300","130.0000","127.3500"
"2017/12/01","125.5800","122720.0000","125.4900","126.2390","120.6700"
"2017/11/30","125.3900","83023.0000","125.6100","127.6500","124.3873"
"2017/11/29","124.0200","94286.0000","123.2500","125.0300","122.7000"
"2017/11/28","121.5100","63880.0000","117.3100","121.6400","117.3100"
"2017/11/27","117.2600","39306.0000","117.3200","118.1696","117.2500"
"2017/11/24","117.3600","31921.0000","117.6300","117.8500","117.3200"
"2017/11/22","117.4200","17218.0000","118.4400","118.6400","117.4200"
"2017/11/21","118.2300","26820.0000","117.7800","118.3500","117.1705"
"2017/11/20","117.2100","25482.0000","116.6300","117.5300","116.4500"
"2017/11/17","116.4900","45726.0000","116.2000","116.8000","115.6800"
"2017/11/16","116.8800","43371.0000","117.5300","117.7800","116.8800"
"2017/11/15","116.6700","31027.0000","115.2500","117.1589","114.7500"
"2017/11/14","116.7300","21615.0000","116.2100","116.7597","115.5000"
"2017/11/13","116.7200","19089.0000","115.1500","116.9410","115.1500"
"2017/11/10","116.1800","17898.0000","116.7800","116.8800","116.1289"
"2017/11/09","116.5800","51833.0000","116.6000","117.1000","114.7900"
"2017/11/08","117.2600","58067.0000","117.6400","117.6400","116.7010"
"2017/11/07","117.8500","33102.0000","119.9100","120.5400","117.3901"
"2017/11/06","119.9400","34969.0000","118.9500","120.2189","118.6100"
"2017/11/03","119.4300","31118.0000","119.9500","119.9500","118.6200"
"2017/11/02","120.0200","80464.0000","118.5800","120.2700","117.7500"
"2017/11/01","118.2600","29176.0000","118.8600","119.5534","118.0604"
"2017/10/31","117.9800","52165.0000","118.3600","118.4000","117.7600"
"2017/10/30","118.3500","28428.0000","118.2000","119.1000","117.9306"
"2017/10/27","119.0900","32008.0000","117.5300","119.3000","117.5250"
"2017/10/26","118.8000","20975.0000","118.3900","119.4539","118.3900"
"2017/10/25","118.0800","63949.0000","119.4000","119.9100","116.8500"
"2017/10/24","118.9100","42322.0000","118.6800","119.3300","118.6500"
"2017/10/23","117.9300","43100.0000","118.5900","118.8499","117.7132"
"2017/10/20","118.5100","40856.0000","118.0500","118.5100","118.0400"
"2017/10/19","116.7100","23757.0000","115.2200","116.8100","114.5200"
"2017/10/18","116.6600","15348.0000","116.5400","116.9302","115.7900"
"2017/10/17","115.6900","14981.0000","117.3000","117.4990","115.4700"
"2017/10/16","116.7300","15997.0000","115.9700","116.7857","115.9700"
"2017/10/13","115.8800","29076.0000","115.4000","116.6100","114.6610"
"2017/10/12","115.8900","29466.0000","117.5500","117.5500","115.6600"
"2017/10/11","116.8200","25027.0000","116.4900","116.8890","116.1400"
"2017/10/10","116.7500","21448.0000","115.9200","116.7700","115.9200"
"2017/10/09","115.8400","38681.0000","116.8500","116.8500","115.5000"
"2017/10/06","116.2900","83818.0000","117.3400","117.3400","115.3600"
"2017/10/05","116.2800","52733.0000","114.7700","116.8900","114.5100"
"2017/10/04","114.3600","13850.0000","114.4100","114.9600","114.0310"
"2017/10/03","114.8300","22816.0000","114.4400","114.8300","113.9400"
"2017/10/02","114.2900","33030.0000","113.0000","114.2900","112.8500"
"2017/09/29","112.8400","47817.0000","111.9100","112.9500","111.9100"
"2017/09/28","112.2300","14981.0000","112.1300","112.2300","110.9111"
"2017/09/27","111.6200","50224.0000","111.2100","112.1234","110.5600"
"2017/09/26","109.7800","9621.0000","110.0000","110.1100","109.4800"
"2017/09/25","109.8000","33320.0000","109.5800","110.4383","108.9100"
"2017/09/22","110.1000","25036.0000","109.4700","110.2500","109.2701"
"2017/09/21","110.3700","38187.0000","109.7500","110.8000","109.7500"
"2017/09/20","110.0700","35960.0000","109.3800","110.4870","108.7501"
"2017/09/19","109.2900","26299.0000","108.5500","109.7500","108.5500"
"2017/09/18","108.5200","51977.0000","107.4900","108.6641","107.4900"
"2017/09/15","107.1800","15613.0000","105.8700","107.1900","105.8700"
"2017/09/14","106.4000","27965.0000","106.4400","106.8100","106.2400"
"2017/09/13","106.6300","44078.0000","106.0000","106.6500","106.0000"
"2017/09/12","106.7500","26418.0000","105.6700","106.8800","105.4200"
"2017/09/11","105.1900","35724.0000","103.9100","105.6230","103.9100"
"2017/09/08","101.9300","31210.0000","100.5000","102.4200","100.5000"
"2017/09/07","100.6800","62517.0000","102.2900","102.5318","100.1400"
"2017/09/06","102.6300","27573.0000","102.8200","103.4501","102.4500"
"2017/09/05","102.2100","71720.0000","105.0600","105.0600","101.8177"
"2017/09/01","105.9900","40735.0000","105.5200","106.8400","105.5200"
"2017/08/31","105.2300","15530.0000","105.3600","105.7550","104.9300"
"2017/08/30","104.9700","34033.0000","104.3100","105.2900","104.1000"
"2017/08/29","103.9900","24092.0000","102.6500","104.2900","102.6500"
"2017/08/28","104.7500","17192.0000","106.2400","106.2400","104.3100"
"2017/08/25","105.7300","32310.0000","105.3300","106.4000","105.3300"
"2017/08/24","105.0700","9745.0000","106.0000","106.0000","105.0600"
"2017/08/23","105.2600","11027.0000","103.9000","106.0181","103.9000"
"2017/08/22","105.2300","11555.0000","104.3300","105.5670","104.3300"
"2017/08/21","103.6100","20900.0000","103.3000","103.7600","102.8700"
"2017/08/18","103.5400","25174.0000","103.3200","104.6300","102.8000"
"2017/08/17","103.9400","32680.0000","106.5700","106.9200","103.8611"
"2017/08/16","107.1200","14095.0000","108.1500","108.2500","107.0000"
"2017/08/15","107.3100","14291.0000","108.2900","108.2900","107.0201"
"2017/08/14","106.9000","32221.0000","105.2000","107.4200","105.2000"
"2017/08/11","103.9800","69711.0000","105.0400","105.3800","103.5600"
"2017/08/10","104.8500","67368.0000","107.2400","107.2700","104.8500"
"2017/08/09","108.3300","31083.0000","107.7700","108.3300","107.1249"
"2017/08/08","108.5300","29561.0000","109.1000","110.4400","108.3100"
"2017/08/07","109.0600","24425.0000","109.3400","109.3400","108.8649"
"2017/08/04","109.3400","25584.0000","109.0200","110.0000","109.0200"
"2017/08/03","108.1600","10443.0000","108.5900","108.6500","107.8000"
"2017/08/02","109.0100","45135.0000","109.1300","109.2000","108.1200"
"2017/08/01","109.1800","59500.0000","108.5800","109.1900","108.0900"
"2017/07/31","107.6500","20110.0000","107.0100","108.0300","106.5210"
"2017/07/28","106.5300","17873.0000","106.4800","106.8000","105.8100"
"2017/07/27","106.6400","36319.0000","107.5100","107.6000","105.8600"
"2017/07/26","107.6400","16357.0000","108.6500","109.0840","107.3800"
"2017/07/25","108.5000","86038.0000","107.6900","108.9900","107.6900"
"2017/07/24","106.4900","30741.0000","105.3900","106.6900","105.1501"
"2017/07/21","105.9000","26279.0000","105.4500","106.4109","105.4400"
"2017/07/20","105.8800","36053.0000","105.9700","106.5100","105.6200"
"2017/07/19","105.9000","39123.0000","105.3600","106.0300","105.2300"
"2017/07/18","105.3000","42881.0000","104.6400","105.3887","104.4500"
"2017/07/17","105.6400","15408.0000","105.2500","105.9500","104.8410"
"2017/07/14","105.6800","59610.0000","104.4100","106.2200","103.7600"
"2017/07/13","105.9400","39190.0000","105.3100","105.9400","105.0900"
"2017/07/12","104.9570","51998.0000","104.3100","105.2550","104.3100"
"2017/07/11","104.1800","31838.0000","105.2500","105.2500","103.3800"
"2017/07/10","105.0900","37203.0000","105.6300","105.6300","104.9500"
"2017/07/07","105.5500","45630.0000","105.1600","105.8400","104.4600"
"2017/07/06","104.4000","35702.0000","106.2500","106.2500","104.2100"
"2017/07/05","106.3700","62272.0000","106.6100","106.7800","105.7300"
"2017/07/03","106.4900","77237.0000","105.1400","107.4200","105.1400"
"2017/06/30","103.9400","22022.0000","105.6600","105.6600","103.7352"
"2017/06/29","104.2600","48227.0000","106.3900","107.0000","103.2580"
"2017/06/28","103.8400","71119.0000","102.6800","104.1500","102.5500"
"2017/06/27","101.5100","21462.0000","101.4800","102.8300","101.4100"
"2017/06/26","101.0100","16919.0000","100.1700","101.6700","100.1700"
"2017/06/23","99.9400","15695.0000","101.0800","101.0800","99.6735"
"2017/06/22","100.2900","23267.0000","100.5100","100.9219","99.9200"
"2017/06/21","101.1400","37283.0000","102.7700","102.7700","101.0328"
"2017/06/20","102.6300","13251.0000","103.7500","103.7500","102.5600"
"2017/06/19","103.9600","64775.0000","103.5400","104.2700","103.4000"
"2017/06/16","102.6100","17529.0000","102.9600","102.9600","102.1800"
"2017/06/15","102.8500","22928.0000","102.1000","103.4100","101.6800"
"2017/06/14","103.3400","50875.0000","102.2800","103.3500","101.1707"
"2017/06/13","102.9300","39088.0000","102.7000","103.1154","102.2000"
"2017/06/12","101.9700","35325.0000","102.2700","102.5234","101.0400"
"2017/06/09","101.6500","119563.0000","99.7300","101.7100","99.7241"
"2017/06/08","98.7900","77667.0000","97.0900","99.6000","97.0900"
"2017/06/07","97.2300","54851.0000","96.2800","97.4548","96.2800"
"2017/06/06","95.8800","45797.0000","95.7100","96.5120","95.3800"
"2017/06/05","96.8800","15416.0000","96.9400","97.7200","96.7500"
"2017/06/02","96.7500","56581.0000","96.0900","97.4600","96.0000"
"2017/06/01","97.0000","31584.0000","95.7400","97.0000","94.9500"
"2017/05/31","94.9400","44630.0000","95.8600","95.8600","93.8000"
"2017/05/30","95.8600","12292.0000","96.5700","96.5900","95.7000"
"2017/05/26","97.0400","13457.0000","97.1600","97.3301","96.9700"
"2017/05/25","97.4500","28590.0000","97.2800","98.0072","97.1500"
"2017/05/24","96.9700","34711.0000","96.7500","97.1000","96.4000"
"2017/05/23","96.6000","28052.0000","95.7100","97.0000","95.0800"
"2017/05/22","95.4200","23037.0000","95.1800","95.6500","94.6200"
"2017/05/19","94.6400","41944.0000","93.5200","95.5900","93.5200"
"2017/05/18","93.2600","78695.0000","92.5100","94.1001","92.4800"
"2017/05/17","92.8800","170822.0000","95.0200","96.2900","92.4600"
"2017/05/16","96.9400","27171.0000","97.3400","97.3400","96.2900"
"2017/05/15","96.9500","54099.0000","95.8400","97.2200","95.8400"
"2017/05/12","95.5700","73986.0000","95.6600","95.7600","94.9000"
"2017/05/11","96.3100","54470.0000","96.7500","96.7500","95.0600"
"2017/05/10","97.4200","25767.0000","96.4200","97.5200","96.4200"
"2017/05/09","96.7000","13339.0000","97.7300","98.1880","96.2500"
"2017/05/08","97.5500","25214.0000","98.0000","98.0800","97.2500"
"2017/05/05","98.0700","19783.0000","98.4700","98.5300","97.3900"
"2017/05/04","97.9400","24457.0000","98.4600","98.8900","97.0700"
"2017/05/03","97.7900","26236.0000","97.2300","97.8500","97.1000"
"2017/05/02","97.4200","30194.0000","97.5900","97.9800","96.8800"
"2017/05/01","97.5900","61844.0000","97.3700","98.1000","96.6700"
"2017/04/28","96.4700","26673.0000","98.2700","98.2700","96.4700"
"2017/04/27","98.3600","31522.0000","99.2700","99.2700","97.6000"
"2017/04/26","99.0500","59185.0000","99.0500","100.4500","98.9300"
"2017/04/25","99.2000","61411.0000","99.2400","99.8300","98.9000"
"2017/04/24","97.8100","70461.0000","98.3600","98.5000","97.3600"
"2017/04/21","95.2400","54073.0000","96.2700","96.6700","95.1700"
"2017/04/20","96.5600","78779.0000","95.4000","96.7900","94.6700"
"2017/04/19","94.3200","41112.0000","95.6200","96.0000","94.0200"
"2017/04/18","94.6100","58846.0000","94.5400","95.2900","93.6500"
"2017/04/17","95.5100","60360.0000","93.1900","95.6500","92.9300"
