Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,41.779999,43.299999,41.480000,43.259998,43.135258,3245600
2017-04-18,42.599998,43.099998,41.939999,42.630001,42.507080,3215900
2017-04-19,43.110001,43.509998,42.119999,42.380001,42.257797,2958000
2017-04-20,43.000000,44.090000,42.560001,43.930000,43.803329,3800300
2017-04-21,43.889999,44.060001,42.919998,43.070000,42.945805,3080200
2017-04-24,44.980000,45.250000,44.470001,44.810001,44.680790,3433300
2017-04-25,45.520000,46.220001,45.500000,45.689999,45.558254,3335900
2017-04-26,45.810001,46.540001,45.419998,45.610001,45.478485,3011900
2017-04-27,45.959999,46.130001,44.759998,45.320000,45.189320,2402900
2017-04-28,45.250000,45.320000,44.020000,44.099998,43.972836,2943200
2017-05-01,44.470001,45.130001,44.099998,44.720001,44.591049,3224500
2017-05-02,44.869999,45.049999,44.209999,44.740002,44.610992,2546700
2017-05-03,44.480000,44.970001,44.230000,44.860001,44.730648,2034700
2017-05-04,45.430000,45.650002,44.450001,45.060001,44.930073,2406600
2017-05-05,45.470001,45.490002,44.689999,45.119999,44.989895,1912700
2017-05-08,45.430000,45.439999,44.570000,44.849998,44.720676,1498600
2017-05-09,45.060001,45.230000,43.959999,44.320000,44.192204,1872500
2017-05-10,44.049999,44.820000,43.970001,44.750000,44.620960,1624900
2017-05-11,44.450001,44.500000,43.200001,44.099998,43.972836,2269700
2017-05-12,43.709999,43.900002,43.090000,43.590000,43.464310,1826400
2017-05-15,43.869999,44.709999,43.830002,44.549999,44.421539,1453900
2017-05-16,44.750000,44.799999,44.070000,44.480000,44.351742,1492000
2017-05-17,42.900002,43.330002,41.389999,41.680000,41.559814,4740200
2017-05-18,41.580002,42.560001,41.320000,41.970001,41.848980,2980000
2017-05-19,42.310001,43.500000,42.220001,42.880001,42.756355,2134000
2017-05-22,43.389999,43.639999,42.830002,43.389999,43.264885,1980400
2017-05-23,43.599998,44.509998,43.189999,44.230000,44.102463,2022700
2017-05-24,44.450001,44.639999,44.070000,44.540001,44.411568,1812700
2017-05-25,44.849998,45.299999,44.560001,44.860001,44.730648,2375500
2017-05-26,44.529999,44.930000,44.299999,44.700001,44.571110,1120300
2017-05-30,44.500000,44.500000,43.680000,43.889999,43.763443,1322900
2017-05-31,43.950001,44.000000,42.529999,43.360001,43.234970,2488600
